[로그 시작] 클라이언트 1 로그 파일
[파일 선택] c:\Github\G1HW3\G1HW3/Expression1.txt
[16번 수식 전송]: 5*1-6+2*3+8-7-6+7/7/4-10*5-6/8*9*2*3+1/5-5*7-8-7/4/6+4+2+9/4-1+4*1-6*1*1*5+2*9-4+6
[5번 결과 수신]: 17.601190476190474
[17번 수식 전송]: 5-6+1/9-10-5-1*6-3*9-1+9+7/7/5-4/7-5/4/2/1+8-10+8/7/3/9*6*6-6+7-3+5*10*5/1*2-9*7-5-4*7/7+5+7/6
[6번 결과 수신]: 36.20833333333334
[18번 수식 전송]: 1*4*10*6/7-9/6*8*1*2+5+3*2+10/4
[7번 결과 수신]: 418.78412698412706
[19번 수식 전송]: 1*1/8*2*9+8+6-9/10+3+2+3+7/6*9+8*3/1/9/4*1/9-3+5/3/8+1-4+1/8+10/10+10*3+3/4/2+9*4*7+3+8+8
[8번 결과 수신]: -2975.0222222222224
[20번 수식 전송]: 1-9*10+8-3+2*3-9/7/9/4+5+9+5/3+9+2*7+5-8*9/6
[9번 결과 수신]: -5.3375
[10번 결과 수신]: -139.94642857142858
[21번 수식 전송]: 10/4+2-2+8/3*5*5+5-3/4+7*8-6*10/6-5-1/1/7*10/2+10-8-4-1*2-7*2/3/4-3
[22번 수식 전송]: 10+4-6/10-7-6/1+5-10*5
[11번 결과 수신]: -64
[23번 수식 전송]: 7+2/10/3*5*1-1*7/7-8/3/5*6*4+3/3/1*8+5*10/2*7*8+2+4-9/4+5/6/1*1
[12번 결과 수신]: -11.9
[24번 수식 전송]: 2-6+2+6-8-2/9/4/5*2*1*1*2+1-6*9+5/9
[13번 결과 수신]: -762.3111111111111
[25번 수식 전송]: 8*10*6/8+4-5-2*8/1-6/5+1/8/8*10+7+2/4/5+9+4-8*7-9-7/1/9*8+9/5-4+1+4
[14번 결과 수신]: 109.58809523809524
[26번 수식 전송]: 1/8*4*2+2+4/6*7/6*7*5*10-7/1*5+10*2+10+6
[15번 결과 수신]: -415.91111111111115
[27번 수식 전송]: 8-8*9/4+5/3*7/2/5+10+5*6/9/10-2-10+5*4-3+6*7/2-2/4*7-8+2*1+9/7+2-9-10*3/4+9-8/6*3-10+4/10
[16번 결과 수신]: -132.09166666666667
[28번 수식 전송]: 1/10-6*2-8+7*4*1*1-2*9+9-5
[17번 결과 수신]: 389.8051587301588
[18번 결과 수신]: 23.785714285714285
[29번 수식 전송]: 8*10*8/4-10-10+7*3/2/1+8
[19번 결과 수신]: 330.6324074074074
[30번 수식 전송]: 1*4+3*4*1+4-2-10-3-6*5-10+8+3-2/9/3+7*3+2-4+5+2+8/1+1*8/7*1+2
[20번 결과 수신]: -46.36904761904763
[31번 수식 전송]: 5+9/9+5+2+3*2*6-8-8/9*2-7-5*4/10/2+1*5+5*2-6*7
[21번 결과 수신]: 105.53571428571428
[32번 수식 전송]: 9/6-8-9+7*2+10/9*4-9/1-4-5*2-10+10*9*10-3/7*6-8*10*7-2-8*8/4-10*9+6*2-2/9+3
[22번 결과 수신]: -44.6
[33번 수식 전송]: 10*10*9+1+8+8+2*5-2*1-2
[23번 결과 수신]: 1406.1166666666666
[34번 수식 전송]: 5/4/6/6*9*8*1*3*7-6/6/5+7/4*2+4+9/10/8*2
[24번 결과 수신]: -56.48888888888889
[35번 수식 전송]: 5-4+3/7-5+1+9*6/9+7/5+6-1*1-6+2+3/3/1*4-3*8/9+2/2+4*6/6*8
[25번 결과 수신]: -6.365972222222222
[26번 결과 수신]: 276.2222222222222
[36번 수식 전송]: 9*2+1*4-10/2-8+6/3*4-1+2*5/7+9*4*10/1/8-8*6/5*2+1+2+2*2+2/5-10
[27번 결과 수신]: 0.18571428571428472
[37번 수식 전송]: 6/6-3*2*3-5+8*9-4+1+3-8/9/5*3-5*5-9*10+6+6+4+4/3-6+8*2+5*3-3*6*4
[28번 결과 수신]: -5.899999999999999
[38번 수식 전송]: 9/6-2*4-3+3*4*2-9*1/5*10+6+7+9*10-10*8/3/3+10-5-4*8+8
[29번 결과 수신]: 158.5
[39번 수식 전송]: 10-6*5*3-3-3-9/1/5-10/9/9*7-6-3*10*10+1+4/8/3+4+2/8+3-7-4-3+4-8/5+5*10+2+5-7/6-8-2
[30번 결과 수신]: 13.06878306878307
[40번 수식 전송]: 6-8+7+4+3/6+6+2*10-2
[31번 결과 수신]: 4.222222222222221
[41번 수식 전송]: 5*4/9*10*5*9/2+9-10/3/9+3-7+4*10/9+2+6+3+3
[32번 결과 수신]: 214.15079365079367
[42번 수식 전송]: 10*10/5/5/3-10/4-7*6+9+3/5/3-5/3-2*5/8/4-5/4+6+4-10
[33번 결과 수신]: 923
[43번 수식 전송]: 9*6-10+5*9-1*7/6-1-5+4/9+1-10/10+2-5-3+4-2/5*10-8+7-2+1/8+6-2/7-4/4+5/5-6+8*6+3/6+8+10/4*9-2*7*1/10/5/2
[34번 결과 수신]: 60.025
[44번 수식 전송]: 5/3-9+4-3+9/6+6+8*9+4+5+1-5/2+5+5*3*8/10-8-8*1
[35번 결과 수신]: 40.161904761904765
[45번 수식 전송]: 1/8-10+6/10*1*2-9+4*6-3/5-9/6+10-7*7-3*7/6+7/6/5
[36번 결과 수신]: 40.628571428571426
[46번 수식 전송]: 6+6-6/7+7/6+6+6*10*8-6+6*7*6*8+4*10*9-8/5*1-3*9-8/7/9+3*7*6-3*1+8+2*5/6
[37번 결과 수신]: -95.19999999999999
[47번 수식 전송]: 9+6+3*9/2/3-2*9/9/4/3+6-3+6-4/4*4/9/3*1/9+6-3*3+1
[38번 결과 수신]: 71.61111111111111
[48번 수식 전송]: 5*4/9/4-6-6-7*3*5+8/5/9-8*6-3*10/7/2/3*10*4*3/10-4*3*7-5+10-10/1*6/10-2-4*1-2*5+7*3-6-5/7+9
[39번 결과 수신]: -352.01419753086424
[49번 수식 전송]: 9-9/10/4*8+3+8-10-8-4-1-6+8+7*6+6-7*3*9+9-9/3*10*9*5+5+7-9+7*9
[40번 결과 수신]: 33.5
[50번 수식 전송]: 5+4/10-2/9+8-7-9/6/8-4*10*7
[41번 결과 수신]: 523.0740740740741
[42번 결과 수신]: -37.195833333333326
[51번 수식 전송]: 9*6-6-6/3+7-2*9+5+8-8*3/3-6*2*6/7/3/8/2*6-1+4/9-1-3*5+2/10/7*5/8*2-2
[43번 결과 수신]: 151.9770634920635
[52번 수식 전송]: 6*5+9-8/2-8-3/5/6*8+6/8/5+1*4*1-6*7
[44번 결과 수신]: 81.66666666666667
[53번 수식 전송]: 8+7-6*3-1-9-10+5+2*3-7/1+4/1/4+3/6*5-3-8+2+8*4*5/5-4+2-9/9+4-3-10/10+1+3-10+5/3+4-4/6*8-5
[45번 결과 수신]: -38.041666666666664
[54번 수식 전송]: 5+6+9+3/3-9/2*6/1-8+8*6/3/3*3-4-8*7/10-4*4-2*8/8+2-4*10+4/7+2/7-3-10*5*8*3*2+5+2-1/5/4*5-4*10-6-3-3
[46번 결과 수신]: 2972.2492063492064
[55번 수식 전송]: 9/9-4/2/3-1+9-6/1+2*10/8
[47번 결과 수신]: 26.31687242798354
[56번 수식 전송]: 9+10*5-3*9+1+3/6+2+2/2+4-4+1+5+7*1+2+8+7-5-7*3+1-3/8/4/1*3
[48번 결과 수신]: -250.55238095238093
[57번 수식 전송]: 10/7-2/3/9+7-9+5/5*1-7+8+10/6*5*3-4+10/1/9+3/1+2*6/5-7+1+9*1+7-4+3/8*9-10/7/1/2+7+6*9
[49번 결과 수신]: -1418.8
[58번 수식 전송]: 1*9/8*6/7+7+7+8*1-6/3+10+3-1-7/8/3/10/1+3-10-8*9-8/6+6+5*3+6
[50번 결과 수신]: -274.0097222222222
[59번 수식 전송]: 1*4+2*8*8-10+2*6-6+1
[51번 결과 수신]: 20.194444444444443
[60번 수식 전송]: 5+3*9*8/7/1+6*7+2/9-5*4+9+9-9/10+7+3/10+4-2*1/4+2*4*9/10/5+1*10-8-8+1+7+2/3
[61번 수식 전송]: 9-4-5*4+9*2-9+5/8+1-9-1*8/9+6*5-4+6*5*1*2*9*8-5
[52번 결과 수신]: -11.650000000000002
[62번 수식 전송]: 7-7/8-1-2*1*3+10/8/7*6*10
[53번 결과 수신]: -6.166666666666666
[63번 수식 전송]: 6/4+9*3*3*8+6/6+7+4-1*10+7*9-7*1+2-2+3+8*8*9-3+1/1+5*7+3*4-5*6-9-5+5+2
[54번 결과 수신]: -2510.9928571428572
[64번 수식 전송]: 10+4/5-6/2+8+8+2/7-4/4/9/10/2+6*1*4/6-6-5-3+4-6-3/5/2+2/6/1+4
[55번 결과 수신]: 4.833333333333334
[65번 수식 전송]: 5-3-3+9/1*8-7-10/9+2*3/2*2/7/3*5-10/6+7/8*10+3+2+10/3-7-2/7*4*3+8/4/7/6*5+4+10*9+3/9/2-2+1-1-6*6-3+8+9
[56번 결과 수신]: 41.21875
[57번 결과 수신]: 98.52632275132274
[66번 수식 전송]: 1+7+5+3*6*6/7*10+7-3+6-5+9-1-7+10/3-10*4-6+6+8+7+3+8/10-8/2+2/3*10-8*9/8+9*1*7-5
[58번 결과 수신]: -20.39821428571429
[67번 수식 전송]: 2*1*5/8-9+2-5*5+3-7/1-9*8-7+2/5-6*8*4+9*10+2-4*1+9/10+5/8-2+5*6+10*10+5+9+2+1/8*2+1*3/6+4+5+4-2-4*8*8-8
[59번 결과 수신]: 129
[68번 수식 전송]: 4/2*3/7+10/2+2-10+10-10+3+1/5+8-9/9-10-9*8-5+10/4-5*3*8+4*7+9+8-4-8/9*4*1*3+6
[60번 결과 수신]: 90.08603174603175
[69번 수식 전송]: 7/7-7*9+2/6*1+1*3+2-10*8*4/2*10*7-3+5/4+8+3-9/2+4/2/10/2/3*5/9+8*8+8*9-2
[61번 결과 수신]: 4326.736111111111
[70번 수식 전송]: 1*2-3+1/5-1/10/1/6/6/6-4+1-7*5+2*10/1+6-7*6+10*3+3/4+1+8*6+6+5*8/2+5/6*6
[62번 결과 수신]: 9.839285714285714
[71번 수식 전송]: 5*9*6+10/6/9*10-5+2-2*4*8-3-6-8+5-1/10+8*5+10+5-5+10+2*5/6*8*9
[63번 결과 수신]: 1294.5
[72번 수식 전송]: 2*1-7+5*1*6+2/9-9+3-3-1+5-8+9/2-10-2+2+1-1
[64번 결과 수신]: 16.11349206349206
[73번 수식 전송]: 5+6+2-4+9/6+5-7/10-2/9/4-1/10/9/5/5-7*4*4*3+2/9+6/4-3*3+6+3
[65번 결과 수신]: 139.71031746031744
[74번 수식 전송]: 9+4*8-5+3+6-1*8-7-2*5+3/6+1+5-3-10*2/1*8+6+10*2/3
[66번 결과 수신]: 207.0857142857143
[75번 수식 전송]: 8*2+8*8*7-5*7+5*1/1+10/5/1+7+3+8-9-3*10+7*7
[67번 결과 수신]: -324.07500000000005
[76번 수식 전송]: 3*3+4-9+7*1+8+8/4-9-6/9+5/5-9*8-6-8*5/9*8-3*7-9+7/9/1+8/4*5-5-10*6-9*4-1-3-3/6*6/6-4/10/3*8*7
[68번 결과 수신]: -160.1095238095238
[77번 수식 전송]: 6-8/8*3*5/6*1+3+5*2*8/1-4/5/3-9+2*10*10*1+7*9*6/2*4*3+3-2/1
[69번 결과 수신]: -11117.898148148148
[78번 수식 전송]: 7*9/4-9/7/4/1-6-5-8/4+5-10/4+10+6/5*1+9*9-4*7+3*2-10/1+6+1-3+2+3-10+9*8*8+4/5+6-7-7*5+1/6/10*3
[70번 결과 수신]: 55.94953703703704
[79번 수식 전송]: 1*3*5*10/8+4+5-5+1/8+10*8+5*4*2*9+6*9/9/9+4/8+8-1/5*5*6+10*6-9*1+2*1+4-6+9+4
[71번 결과 수신]: 372.7518518518518
[80번 수식 전송]: 2+8/7-4-6-7/6/4+7*9+7*9/7-8+10/10/8+4*7/9/2*2*8/3-7*2+7*8+10-1*6+8/8*8-4-4+1/9-2
[72번 결과 수신]: 6.722222222222221
[81번 수식 전송]: 6/8/8-9+5-10-7-3/2-2+2-7-1-10*4*8*1+1
[73번 결과 수신]: -319.53377777777774
[82번 수식 전송]: 2+3*6/3+3/1*4-9*3/7/5/4-3/5-10-5+10/6/2*5/4/1/4*5*9/8/8+2+8+2+7+4-2/9/6*3+4+3-1
[83번 수식 전송]: 2*1*5+4*7/6/7+10+4+6-4/1*3*4+3
[74번 결과 수신]: -123.83333333333333
[84번 수식 전송]: 5-1/3-2/7+10+10/9+9*8/5*5/8*2-1+2+1+1
[75번 결과 수신]: 464.0
[85번 수식 전송]: 5+9/2-3+7/1/5-10/2*6+7+2+6-5+8/8-7/2+6-5+1-5
[76번 결과 수신]: -233.41111111111113
[86번 수식 전송]: 1+7*2*2+5/4*9/5/1-5*10-9/9-10*4-1/3+4-3/4-9-6/4+8*5/6*1*3+7*5/4*1+6*6+3/3
[77번 결과 수신]: 2546.2333333333336
[87번 수식 전송]: 10+8-3/2+5*10/3+4/4-9/10*6/8/1*4+4-8/1*3+3/9+1/7*7/8*3*4/3-7-4/2/9-2*8-4+6-2
[78번 결과 수신]: 604.9785714285713
[88번 수식 전송]: 3-2/7+7*4/3+6/9+9/10+10+9/1+5/2/1-6-10-10+8*1+1+7/7*6/7-9/5*3-2-2+4/10+10/2*4*6*9/9/8*9+2*2-6*1-9+4/10-10
[79번 결과 수신]: 530.0416666666667
[89번 수식 전송]: 8-7-3+7-1/9/9/3/1/8*6+5*2/1+5-8-5*7*2+6+1/7-5+3*9*1/5*3*4-8*2*10+4*7/3-2+1*6+1+4-1-4+4-2-2*5*5*3-5
[80번 결과 수신]: 109.38359788359789
[90번 수식 전송]: 4+2-9-3*6-5*4*1*5-5+8*7-2/8-6-8+6-9-1+9/7-6*4/7-8/10/3*3/9+3*6-4+10
[81번 결과 수신]: -349.40625
[91번 수식 전송]: 3/8+9*3/5*7-4/9*6+5+7-2*4*4/2
[82번 결과 수신]: 33.27913721478174
[92번 수식 전송]: 10*4*4-6*6*3/1-8*10+8/8*8*7/7/4*3+1-10/1/6-2-10-10*10/8-3-3/3/4+7-4+9/9+10*6+6
[83번 결과 수신]: -14.333333333333336
[93번 수식 전송]: 2/3/8-4-6*8+8-6/3*6*8-8+4/7+3/6
[84번 결과 수신]: 36.492063492063494
[94번 수식 전송]: 7/9+7*3+7*10*10/2-6/9-7*6*5+9-3/2+4/5-3/9/3*4/9+10+7/3+4/7*3-7/8*10-5+2/9+7
[85번 결과 수신]: -17.6
[86번 결과 수신]: -1.5833333333333428
[95번 수식 전송]: 4/5*3/1/10-8/4*8/5*5/1
[96번 수식 전송]: 2+8*1/1+4+6-9/5*1/2+9+9+3-9+7+1-8*8+3+1+8*8/7*6-1+7+5*7/2/1+2
[87번 결과 수신]: -10.92222222222222
[88번 결과 수신]: 124.37142857142857
[97번 수식 전송]: 7*2*10+9-2-3-6-7/1+2/8/7/4/8-3+5/1-5/10+3/9*3*3/2*4/10/10+1*10/8-2-6/1+3-4/1+9-1-2/2/6/5*5*3+2-8/1
[98번 수식 전송]: 4-8/5+8*9/9*9-6*6-2/2/2+2-8/7-8*8-4*6
[89번 결과 수신]: -291.72689594356257
[99번 수식 전송]: 8*4-6*9/6*3-2+6*4-6+8*8/1-8-9+5/6/1+4/3+7+6*3+1/10-2*3+8+6-5*5-1-1+6*5-6/4/2/2-9-9-9-3
[90번 결과 수신]: -66.48174603174603
[100번 수식 전송]: 2/8*2+6*8*8/7-9/9/5/3-1-1-6-8*6+9+9/7+1*8*5+9-4-4+7-10+9+8-10-1-1*8+5*3
[91번 결과 수신]: 31.50833333333334
[101번 수식 전송]: 2/1*9*6/6/4-2/6+2-1*4-6+5-6+5*2/1-9*2*9/7+8-5/2*10/8/7+10/5-3-5-7-4-2*1
[92번 결과 수신]: 19.58333333333333
[102번 수식 전송]: 9-5+1*8+3-3/2*6-3*7*4-8+5-2*10+2+1-6+5+4-10
[93번 결과 수신]: -146.84523809523807
[103번 수식 전송]: 8/1-5-8-8-10-6-1/5+6
[94번 결과 수신]: 176.881569664903
[104번 수식 전송]: 7+4*7*2+7-4+1-2/1/4/8-5*1*9*5-10-10-4/10+5-4/1-3+5/10+8/1*9-10+8*8-10+1/2+9/6+7*4*1
[95번 결과 수신]: -15.76
[105번 수식 전송]: 6-2-2*1+5*5/2+4+9*10*6*7-3+8-9-10+7-1+7/5+4+1*2*10-1*1-3+7*3/10/9+5/4-9+1
[96번 결과 수신]: 59.457142857142856
[106번 수식 전송]: 8/7+1+10-2-7+4-9*5*1-4*10+2*4+6/1/3*9-1/1*4/6*10-4+7+6+2/1-6*7+7-6-1-10-10+3/6*2-3
[97번 결과 수신]: 126.31111607142859
[107번 수식 전송]: 8-6+6-8/3-10-4*8-5-5+9*10/9-4-8/4/8/8
[98번 결과 수신]: -49.24285714285714
[108번 수식 전송]: 1/7*8+9+10-2*7/9*5+6-10*6/10+1/10*5-2*4+2+3*6
[99번 결과 수신]: 75.89166666666665
[109번 수식 전송]: 10*4-5-8+3/1*3/3/7*10*1+3+4-2/10-7-10+3/10-5*4+5+8+4-10-1-9-6/10*3/9/7/3+10+4*1-10-3-8+1*2/6*8
[100번 결과 수신]: 60.576190476190476
[101번 결과 수신]: -29.422619047619044
[110번 수식 전송]: 6/8/2/5/6*3-5+8*8+1*2*2/7-9/7*4+10*2/1/6/6*8/4+2-4-6*4*9-7+10*8*6+8
[102번 결과 수신]: -105.0
[111번 수식 전송]: 2/7-2*6+3*1+7/4*9/4+2/2-10/2/3*4/6*7*4+1-3+6-4*7-5-7*5+4*4+3/5+4+4/10+2+8+10+7/1/4
[103번 결과 수신]: -23.2
[112번 수식 전송]: 5*8*2*4*4-7+7+2*5*6*7/1/6/5/4*8+6-10-7+3+4*9/4/1-9*10/8*5-3*4*10-3/7
[104번 결과 수신]: -33.962500000000006
[113번 수식 전송]: 7-2+9/10/1+8-7*3+3/8*8/2+8+4/7/7+10/5/5/10-8*7*9+7-2*5/4/3/6/9
[105번 결과 수신]: 3805.383333333333
[114번 수식 전송]: 8*1+2/4*10*2/2/6-6/10+8/9+9/3*6*9+5*9+8*4*3-4*6-8/6+10*2/6+6*4/9*7+4*10+6+2*4*2-9+4*6
[106번 결과 수신]: -111.52380952380952
[115번 수식 전송]: 8*5*4/3+1-4/3*6-1+7*3+9+2/4*2+4-5+7*9*5*10-10*2*3-8
[107번 결과 수신]: -40.697916666666664
[116번 수식 전송]: 8*7+7*3+7+1*8/3+4*9+6+5+10+5+6-1/5*5*1+9-3+10/5+3/2+8*6*2+10
[108번 결과 수신]: 24.865079365079364
[117번 수식 전송]: 6+8+7-8-6+2-8*7+7+5+10+6*10/9+9/8-4-3+2*10/7*5/4+1+6+5+10+10/1-5*4+1*3-2-2-6*2-1+9+1+7/9-9-6/9+10+7
[109번 결과 수신]: -5.957142857142861
[118번 수식 전송]: 8/3-8*4-3*10*6+2+5*9-2-6
[110번 결과 수신]: 318.57718253968255
[119번 수식 전송]: 8/1/6-6/5*2+4*4/7-2/2/2*9+4*3+2+7-8/4-7*4/7/5-1
[111번 결과 수신]: -56.13789682539684
[120번 수식 전송]: 10+7/10-5*9/6-1-3/9-6-4-4*8+7/3*8/2-1/10+2+1/4
[112번 결과 수신]: 1132.3214285714287
[121번 수식 전송]: 9+5+9/9/4/8-2*10/3/3/4-8/10-10+3-7-3/9*6*6-4/1-3/9+5-4+4*4-4*10
[113번 결과 수신]: -494.4937994457042
[122번 수식 전송]: 5-2-7+3+3+5/5-8/3*9-3/6/4+7
[114번 결과 수신]: 385.78888888888895
[123번 수식 전송]: 6/1/8*8*10+7/10*2-2*3+5*8*2*4/3*3-9*7/2*1+10/3*4*9
[115번 결과 수신]: 3157.3333333333335
[124번 수식 전송]: 4+8*3+8+2*7-3*5+10-2/8-9-4+4-3/7+9/9/2/9+5
[116번 결과 수신]: 269.1666666666667
[125번 수식 전송]: 9-4/5*9/6+6+3/4/1/6/2-5+4/2+3-10/6*9/6/5-9/1
[117번 결과 수신]: -4.5257936507936485
[126번 수식 전송]: 7*1-6-5/7-9-4*5/6*10
[118번 결과 수신]: -170.33333333333334
[127번 수식 전송]: 10/4/3-5-5/3+6/7*8*8-7/7+9-1-3-10+7-10/1-8+7+5+5+2+3/4+3/7*3/3/3-6+5*3/2*8+6-8*4-3-9+1/9+4
[119번 결과 수신]: 13.919047619047618
[128번 수식 전송]: 10*7*9+3+3+2-3/3+7+4-4-9-7*8-8
[120번 결과 수신]: -28.65
[129번 수식 전송]: 3+8+7*8-6/10+9*4*8-4*7/8*9/4+2*10+5*5
[121번 결과 수신]: -40.65763888888888
[130번 수식 전송]: 4/10*10+9+6-10-8*1+2+8/10+10/10+6/4+1/10-7-5*8
[122번 결과 수신]: -14.125
[131번 수식 전송]: 9+10/2/9/8/1-8*4*8/6-9+2/1/9-5*7*10/10-1-8-8+4*9/2/8*5-5*9/8*8/3/5/5/6-5-8*8*2*2/5-7-9
[123번 결과 수신]: 463.9
[132번 수식 전송]: 7/1*3*3*5+4+10+7/10*6
[124번 결과 수신]: 40.37698412698413
[133번 수식 전송]: 8/8-10+3*3-10+2/1-5+7/7+10-10*10+1-2/2
[125번 결과 수신]: 4.362500000000001
[134번 수식 전송]: 9+3*7*10-2+4/4*8+4/10*6*6
[126번 결과 수신]: -42.04761904761905
[135번 수식 전송]: 5+5+3-7+6*4/6-9/10-8*4-6+7*7/6-2+10-7-7*9+1+8*9-1/8-10-10*5+9/6-9-3*6/7+3
[127번 결과 수신]: 72.02777777777777
[136번 수식 전송]: 10-5*1-6*1*8/10+3-5/7*9+2+9/2-9+8-1-9/5-2/10-8/6*2-4+4*9
[128번 결과 수신]: 571.0
[137번 수식 전송]: 1/3/8/2/6-4-9+2*1+9-2-8+8+3-4*9*4-2+2+5-1*10-3-5/6+5+6-7/5+2/9-3-3+5-5/8-2+1/7/8
[129번 결과 수신]: 391.525
[138번 수식 전송]: 2*8*4*3*6+2-8/9+1*9*4-10-10*10
[130번 결과 수신]: -40.6
[139번 수식 전송]: 6*7+4+4-9/9+1/3+4/4/7+10/6*7-2*2-7/10/8*4/1+6*1+6/6*9/4-4+8*4/3-8*3*4*4
[131번 결과 수신]: -155.425
[140번 수식 전송]: 4+8/10*2*4+2+4/2/9*3/7+4/10+6-7
[132번 결과 수신]: 333.2
[141번 수식 전송]: 1+1*7-2*4-10/2*5/6/7/1+6+3-4+6-7-6/9
[133번 결과 수신]: -102.0
[142번 수식 전송]: 10+4+6*1+10+7/6/4/9+5/4
[134번 결과 수신]: 239.4
[143번 수식 전송]: 5+5+9+9*5+1+6+1/9*8+10*6+9+8-4/4-6-4
[135번 결과 수신]: -76.9297619047619
[144번 수식 전송]: 7/10+4*3-8*9*10*7-5+8/6-4*6/4/6+2-3-3/4+8-6/8*6+9-2*4-1
[136번 결과 수신]: 28.604761904761904
[145번 수식 전송]: 8/7*10*6/10*3+10+10-9-3+9+6/4*3/10-1-10*1+2+10-6/3/9*2-9*3+10+7+9*1-4-7+10/1-5+6+1-3+1*5-9-5/6*4*6/6+9+4+4
[137번 결과 수신]: -147.61478174603175
[146번 수식 전송]: 7+3/5/6*6+5/7+3*8+3-2/3+8-5/9-6+6+3+5/8-5/10+3/1+5/6-3/4+10/4/8/9/10/7-3-9/2/2+5-2*3+10-6*10-2
[138번 결과 수신]: 1079.111111111111
[147번 수식 전송]: 5-5-4+4/10*2/8*5-4-4/6+7/6-1-7-9/1+7-3/3-10+3+6*9-10-7/2*2*6/7/5
[139번 결과 수신]: -312.29047619047617
[148번 수식 전송]: 8*8-6/9-8-10*2*3+1*10*2*9/1*4/7+9*2*4+9+7/3*6*4-7-7/9+9/6+10+7*4*6*7/5+7/9-3*9/10-2/1+4/2+5
[140번 결과 수신]: 11.895238095238096
[149번 수식 전송]: 7*10*3-6*4-7*2+8-3-7-10*9-1*6+8+6*1+10*9*7+5-8*9+4-2
[141번 결과 수신]: 2.7380952380952386
[150번 수식 전송]: 8-9+6/9-10/5-8/6-4+5/8+9*5*8+7*3
[142번 결과 수신]: 31.28240740740741
[151번 수식 전송]: 4-9/5*8-5/10+7-8-9+2/9-9*1+9-9+6*10*4/3*10/10+1/7*1/4-5+6*10/1
[143번 결과 수신]: 137.88888888888889
[152번 수식 전송]: 4/4-1-1-3*9+8+7-1/10*3/6*3/9-3-10/10*1*4-5
[144번 결과 수신]: -5030.216666666667
[153번 수식 전송]: 4/3/10-8/10/10-9-10*7/9*5/10+8/6*10-1-7*7/3*9
[145번 결과 수신]: 45.2436507936508
[154번 수식 전송]: 5*4-6/7-2/5+4-2*2-8*3-10/2*9*8+6/8+6-6-1
[146번 결과 수신]: -9.949107142857137
[155번 수식 전송]: 4/2/10/2-9-10-10-1-7*6+4-2+2*3+2-4*6/8+4-6*10*1+3-5
[147번 결과 수신]: 17.8
[156번 수식 전송]: 2*7*4*8*1/2*10-5*8+3+4+8*7*6+7/3+9/4-2+7-10+5/3-5+6*5*10+8-2-3/6-7+8+9/9+7+3/5*7/9+9
[148번 결과 수신]: 477.1904761904762
[157번 수식 전송]: 7/9+5-10-10/6+3-9/5+2/1-2/8*5/2/4/5*2-3+5+4*6+6*4/4/4*1*7/5+9-10*2/1*10+4/9*10/4+6+10/10+10/8+6/1*8*4-8*9
[149번 결과 수신]: 653
