[로그 시작] 클라이언트 2 로그 파일
[파일 선택] c:\Users\USER\OneDrive\바탕 화면\G1HW3\taein/Expression2.txt
[119번 수식 전송]: 6+8-2*7+3*10*1*2/6+9+2-7/10*1/9/5*7*1-6*5-2-1+4*10-7+10/4/1
[110번 결과 수신]: -1572.9285714285713
[120번 수식 전송]: 10+3*8*7/8+3+9+8/2/1/2-4*1
[111번 결과 수신]: -380.0611111111111
[121번 수식 전송]: 8/6-10-2*4*5-10-6-7*6+5-10-8+4/6+6/5*10*10*2*6+7*6/4+4+6*3/4/10*3-8-1*8-1+5*7+6+3+5*5*9
[112번 결과 수신]: -259.3499999999999
[122번 수식 전송]: 4/3+7*9/7-9+10/2+3-10+2+4*3+5/1+7+8+1*10-7/4+9
[113번 결과 수신]: 66.83333333333334
[123번 수식 전송]: 2/3*9+5/10*3/10+9*5/8+6+2/8+2*4-2/10+8/2*9/2/1*1/4+1-5/1/8*7+8*1-2*10/1/3-6
[114번 결과 수신]: -19.4
[124번 수식 전송]: 2+5*2/2/1-3*5*2/10*7-5/3+2+7-5/8-10*6*9/10-3+3*5-5-8/10*7+7*3/5+8*5
[115번 결과 수신]: -57.0
[125번 수식 전송]: 5/8*2/7/10+10/3-8-7/5/7/5
[116번 결과 수신]: 64.93333333333332
[126번 수식 전송]: 9/5*5-9*5+7+3/3-10+6/8*10-2/7+1-8+10*6/9+6+1*4*4*8-6+2-2+3+9*2+4/4-5+8+8+7*1/9*7/5/5+5*2+4*1-4/9*5+5+9
[117번 결과 수신]: -77.05
[127번 수식 전송]: 1-7/6-1*1-2+10/2+7/4-7/7-10-1+5+3/10/3+3-7/3-8*6/2-5
[118번 결과 수신]: 296.36944444444447
[128번 수식 전송]: 3/6/7+2*6+1/4+5*4*2*10-2-7*8/6-2+3+1*1+10*4+8*6-3-2+2-1*6-9-4
[119번 결과 수신]: 23.391111111111112
[129번 수식 전송]: 8-6*10/8/6*10-3+10-5+5-2+7+1-5*8/10-4*1*10*9*10*7+9/7-4*3/5-5*4+8*7/3*4/8/2-8-2/1*4
[120번 결과 수신]: 41.0
[130번 수식 전송]: 7/6-9-10-5*10-1-2*2*2-5/7/5
[121번 결과 수신]: 1588.85
[131번 수식 전송]: 3+5+10-5-6*1*9*10-7/1/9-7*9-10+5*1
[122번 결과 수신]: 50.583333333333336
[132번 수식 전송]: 7+10+9+10+4/3+8+1*3-9-4*3/3+4+4+3+7+6*9-7/1/2-9*3-8/6-3+7*3*6+5+6-4-2*2+6*3
[123번 결과 수신]: 22.283333333333335
[133번 수식 전송]: 6+7-7+7/6-8*3+3+3/7/1
[124번 결과 수신]: -15.691666666666656
[134번 수식 전송]: 6/8+1*3*5-6-1-6-10+3/1-4*8-8*8/1/9*9/9*9-4+3-4
[125번 결과 수신]: -4.688809523809524
[135번 수식 전송]: 5-8-5-7*9+10-4/4/5/5
[126번 결과 수신]: 155.87650793650792
[136번 수식 전송]: 5*8-10/2+10*9*3-5*1/5+8+5+5/9-2-4
[127번 결과 수신]: -31.650000000000002
[137번 수식 전송]: 2-2/3+2+2*10-8+5-7/1+4*1*10/10*9-10*9*1/3/1*7+7/8*3*4*1-3+1-8/3+7
[128번 결과 수신]: 468.98809523809524
[138번 수식 전송]: 8+6+4*6+8+9*8*7+7/5
[129번 결과 수신]: -25227.94761904762
[139번 수식 전송]: 8*2/5/8*1*9*10-6/4/2+6*6-3*4/4*3/2/8+6+10-2/3+5+3-2+2
[130번 결과 수신]: -76.97619047619047
[140번 수식 전송]: 6+3-8*1-10+3*2+8+3-4-4-6/5*9+8-10-8/4*3*6/7+7/1+6*7+4+6
[131번 결과 수신]: -595.7777777777778
[141번 수식 전송]: 6/3+1-4*5*5/10*3*2+5*10-9
[132번 결과 수신]: 219.5
[142번 수식 전송]: 3*3*2-4/1*3-2/10-2+8*7-9/7-8/9-6-7/1+4+9/5+6/7*4*10+9
[133번 결과 수신]: -13.404761904761903
[143번 수식 전송]: 1*1-6-8+3*1/8+1+4-4-5*2/5*2*4+3*8*2*6+1-6+1+3-5-7*1-3+7-6-1
[134번 결과 수신]: -105.25
[144번 수식 전송]: 4+2-10*5+10*3/3-7-8/7-1*7/8-6*3+6*10*10-8/4-5
[135번 결과 수신]: -61.04
[145번 수식 전송]: 8+8+2/1-6-10*10+1-3-8*4-3+1/7/5+1/7+4-8*6*7+10/4+4/8-7-5+7+3-6*6/8/8/5*5-1*6*3/8+8-7*4*2+3-6*1
[136번 결과 수신]: 311.55555555555554
[146번 수식 전송]: 2+8/3+4+7*5/4+10+1/6-10-1-8*5*2+9*10+4*1/7*10*4*6/5*4-2
[137번 결과 수신]: -147.83333333333334
[147번 수식 전송]: 5*6-6+7*8/5/3+4/9-8*5*4-9*1+7-7+4+9*1/8/9+5*7-9*3+6-10+8/2-3*7/9+5*2-4*1
[138번 결과 수신]: 551.4
[148번 수식 전송]: 1/6+2-4-6+1-7/9*7*8+5-3-3/2-5*2+3/1/6*9+1+8-6/10+3*1+5/10/1-7/2-5
[139번 결과 수신]: 94.02083333333333
[149번 수식 전송]: 8/5*6/9/8-1*9*10*10-8/10-7+1/5-1/2*6*7+6/9*1-5-6/7*6/1-1/3/4+1*9*2-8/9*4-3+6-3-7+8+5
[140번 결과 수신]: 41.05714285714286
[150번 수식 전송]: 10+5-10-8+2/1+6-7/1*10*8+6/7/5-4*5*2-1-6*10-1/1/2-2/8+7+9*5*8+3-4/4/9/4*3*6*9*10+2*8*9/1/2*4-4+2*2-3+6/6
[141번 결과 수신]: -16.0
[151번 수식 전송]: 5-4/2*7/9+7-7+6*5/6+1+7*5*10*7/8*9/3*10/4
[142번 결과 수신]: 93.71111111111111
[152번 수식 전송]: 1*10-4*6+10/7/6/7+9*6/6*6*1*5+5*1-10+1/10+2-2/9/8+9/6-10+9-3*9+1/5/4*8*10
[143번 결과 수신]: 244.375
[153번 수식 전송]: 4/2/5/9-8-5/6-3*7/4*3-1*1+2+4
[144번 결과 수신]: 531.9821428571429
[154번 수식 전송]: 5/4-5/8-8+5-5+10+2-7/5-1-9/7+6*9+10-8-8*7*7+3-3/5-1/6/9+9-3/5+1/5/9-9*4+6+3+2+3/10*5+10*6*10+4
[145번 결과 수신]: -509.6410714285714
[155번 수식 전송]: 1-1*2*5-5/3+3+4*10*5+2*6/2*1-1+2+9/7*2/9/8/7+10+9/7/9/1-2+4/7/1*10+9+1-8/2-7-1+4/6*8/2-9/10-8/10
[146번 결과 수신]: 134.29761904761904
[156번 수식 전송]: 5-5/10-1/9*9*7*5*9+5*3*7/8*10-4/3/3-6-10+6/4/10+1+2*8+5-4/7-8/3+6*6-9/1/9*5-2+9/1*4-3-6-9
[147번 결과 수신]: -125.03055555555557
[157번 수식 전송]: 4*7*6+9*4*9+8-9-6+7-8*6*6/9
[148번 결과 수신]: -51.988888888888894
